Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.127,-0.048,1.012,-4.822,-6.104,4.333,,,,,,,-0.868,-10.624,179.16,1.4,-27.6,-31.34,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.137,-0.048,1.018,-7.141,-6.348,3.662,,,,,,,-0.939,-10.69,179.203,1.4,-27.6,-31.34,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.149,-0.054,1.028,-9.399,-5.676,3.113,,,,,,,-1.033,-10.75,179.236,1.4,-27.6,-31.34,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.154,-0.062,1.043,-10.62,-3.723,2.319,,,,,,,-1.143,-10.8,179.269,1.4,-27.6,-31.34,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.153,-0.071,1.057,-10.742,-1.77,1.038,,,,,,,-1.258,-10.827,179.286,1.4,-27.6,-31.34,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.149,-0.076,1.064,-9.827,-0.916,-0.977,,,,,,,-1.368,-10.844,179.286,1.4,-27.6,-31.34,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.138,-0.08,1.074,-7.812,-0.488,-2.502,,,,,,,-1.456,-10.849,179.269,1.4,-27.6,-31.34,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.125,-0.089,1.084,-3.54,-1.16,-2.625,,,,,,,-1.522,-10.865,179.242,1.4,-27.6,-31.34,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.117,-0.101,1.099,4.211,-2.625,-2.197,,,,,,,-1.516,-10.882,179.22,1.4,-27.6,-31.34,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.122,-0.103,1.108,12.268,-4.7,-1.465,,,,,,,-1.434,-10.926,179.203,1.4,-27.6,-31.34,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.13,-0.097,1.109,19.348,-5.859,-1.709,,,,,,,-1.274,-10.981,179.193,1.4,-27.6,-31.34,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.136,-0.087,1.111,27.283,-6.165,-3.357,,,,,,,-1.044,-11.047,179.171,1.4,-27.6,-31.34,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.136,-0.081,1.106,34.973,-6.165,-5.798,,,,,,,-0.725,-11.113,179.127,1.4,-27.6,-31.34,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.124,-0.076,1.1,42.969,-5.066,-7.263,,,,,,,-0.335,-11.173,179.061,1.4,-27.6,-31.34,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.113,-0.072,1.093,51.147,-6.226,-7.324,,,,,,,0.143,-11.228,178.989,1.4,-27.6,-31.34,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.107,-0.069,1.078,58.777,-7.385,-7.019,,,,,,,0.698,-11.305,178.918,1.4,-27.6,-31.34,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.101,-0.067,1.061,67.2,-8.972,-7.507,,,,,,,1.329,-11.387,178.846,1.4,-27.6,-31.34,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.092,-0.064,1.057,79.163,-11.353,-8.972,,,,,,,2.06,-11.492,178.764,1.4,-27.6,-31.34,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.097,-0.051,1.085,96.008,-17.883,-8.972,,,,,,,2.955,-11.64,178.665,1.4,-27.6,-31.34,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.109,-0.02,1.095,106.079,-21.667,-6.47,,,,,,,3.977,-11.843,178.583,1.4,-27.6,-31.34,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.119,0.019,1.063,106.14,-20.996,-4.333,,,,,,,5.048,-12.052,178.517,0.7,-32.0,-30.247,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.13,0.05,1.009,100.342,-19.836,-5.188,,,,,,,6.081,-12.255,178.456,0.7,-32.0,-30.247,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.135,0.074,0.975,93.079,-18.616,-8.911,,,,,,,7.053,-12.442,178.369,0.7,-32.0,-30.247,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.131,0.1,0.96,88.501,-17.456,-16.785,,,,,,,7.96,-12.607,178.22,0.7,-32.0,-30.247,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.136,0.11,0.989,90.393,-18.616,-24.292,,,,,,,8.877,-12.761,177.984,0.7,-32.0,-30.247,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.145,0.115,1.042,96.497,-17.456,-27.1,,,,,,,9.838,-12.909,177.698,0.7,-32.0,-30.247,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.15,0.132,1.062,98.694,-13.0,-25.146,,,,,,,10.849,-13.013,177.413,0.7,-32.0,-30.247,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.151,0.15,1.042,95.825,-7.812,-20.996,,,,,,,11.843,-13.074,177.171,0.7,-32.0,-30.247,29.51,0.01047,0.03586,-0.01495,0.99915,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.129,0.15,1.016,94.36,-4.211,-16.785,,,,,,,12.81,-13.096,176.973,0.7,-32.0,-30.247,29.51,0.01816,0.06113,0.08853,0.99399,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.112,0.144,1.006,98.022,-5.066,-11.353,,,,,,,13.782,-13.112,176.83,0.7,-32.0,-30.247,29.51,0.01816,0.06113,0.08853,0.99399,
d0:1c:1b:3a:ee:9d,2015-01-01 01:45:07.400,0.106,0.152,0.998,101.746,-9.644,-6.714,,,,,,,14.793,-13.162,176.726,0.7,-32.0,-30.247,29.51,0.01816,0.06113,0.08853,0.99399,
