Chip Time()_filt,Acceleration X(g)_filt,Acceleration Y(g)_filt,Acceleration Z(g)_filt,Angular velocity X(°/s)_filt,Angular velocity Y(°/s)_filt,Angular velocity Z(°/s)_filt,ShiftX(mm)_filt,ShiftY(mm)_filt,ShiftZ(mm)_filt,SpeedX(mm/s)_filt,SpeedY(mm/s)_filt,SpeedZ(mm/s)_filt,Angle X(°)_filt,Angle Y(°)_filt,Angle Z(°)_filt,Magnetic field X(ʯt)_filt,Magnetic field Y(ʯt)_filt,Magnetic field Z(ʯt)_filt,Temperature(℃)_filt,Quaternions 0()_filt,Quaternions 1()_filt,Quaternions 2()_filt,Quaternions 3()_filt
0.7404787799787429,-2.29910553820269,0.9571991018538999,-897.2300951439848,-11.941247346168096,36.484900348663885,,,,,,,-39.51271817189471,-15.952131076890234,-150.82524885465557,-5.899998117293248,-39.60026615182073,-29.37998469253804,30.220000000000113,0.15219390686422948,-0.019396041184428274,-0.4142953749302097,-0.896845564058298,
0.6425540418183913,-2.330756308533421,1.4187812297294624,-716.0229630425664,-2.0618757078330594,26.863856454820095,,,,,,,-47.22869217956217,-15.722192943529373,-150.9861252386668,-6.099329990097399,-40.63520159720522,-29.43175161685788,30.220000000000113,0.15246498277872975,-0.019330690804731356,-0.41295134985114496,-0.8972516894717368,
0.5470922005581228,-2.3527336881824406,1.8319603277021241,-529.6360701787358,5.213090604745575,17.57308347748844,,,,,,,-54.091801131891415,-15.53672419214112,-151.13923234427068,-6.202870669627677,-41.17258288348345,-29.458652510015437,30.220000000000113,0.15268132359243666,-0.01927874696807045,-0.4118780441713034,-0.8975757343479649,
0.4572270788923481,-2.360749536114372,2.157411867630164,-334.39340734513974,8.317829419817746,8.564031819445809,,,,,,,-59.40552020099571,-15.439645342734382,-151.2754012504537,-6.129436033411857,-40.790863674878025,-29.43960568003786,30.220000000000113,0.15275155553500883,-0.019262269529449212,-0.4115283998736457,-0.8976807912030598,
0.3774105586372664,-2.3535671456271254,2.3682539920559593,-130.45870906941474,7.124582767428371,-0.4923335252416327,,,,,,,-62.646927588050566,-15.462998757238186,-151.39292108812032,-5.825794934460121,-39.21369712601629,-29.360785217029072,30.220000000000113,0.15258742539973355,-0.019302506691988658,-0.41234007334082806,-0.8974346492858296,
0.3123524981696261,-2.3329055369526293,2.453255301461408,77.75499952483514,3.0727561597985282,-10.147500775211263,,,,,,,-63.508895590779,-15.61951112948195,-151.50166505292958,-5.27696164210674,-36.363377770432066,-29.218293790952348,30.220000000000113,0.15213255979085008,-0.019412943206078767,-0.4145929021531886,-0.8967528883621145,
0.2651742180415414,-2.3024198230375763,2.4170734938445513,282.39422005873547,-1.1955540499232002,-20.983997859649243,,,,,,,-61.90999837838163,-15.896317086468219,-151.62508850067042,-4.51098745795567,-32.385704557166946,-29.01940788302916,30.220000000000113,0.15139517931106208,-0.01959141019598728,-0.41824671547408726,-0.8956478923190891,
0.23580260988002413,-2.265982119845501,2.277407632034166,473.81700176537055,-2.6096852670878503,-33.365129374696316,,,,,,,-57.97406347756647,-16.251928120377364,-151.7984487133727,-3.5957393818374257,-27.63321965019802,-28.781743172879317,30.220000000000113,0.1504770961766694,-0.019813113804627504,-0.42279749986828746,-0.8942722863319952,
0.22048047654375397,-2.225691429074471,2.0599027623034347,642.5207971036601,1.3715357495710456,-47.225608142358645,,,,,,,-51.98686798643203,-16.618561469984837,-152.0626766799216,-2.6265147396051836,-22.600849444573566,-28.53004097679428,30.220000000000113,0.14958924138423293,-0.020026938373497387,-0.4272002679451366,-0.892942182805804,
0.2126452224773897,-2.1801830955643724,1.7922738158582705,780.8058796527516,11.908592614347727,-61.98162614946612,,,,,,,-44.34065071604593,-16.911048254946625,-152.45506273968124,-1.7063646756261648,-17.82368236757929,-28.29106155989453,30.220000000000113,0.1490439951131208,-0.0201573668492966,-0.42990686062280775,-0.8921256649079239,
0.2048035482627707,-2.1238207495340062,1.4991716448446541,883.8156393932302,28.29541875668989,-76.58512133293705,,,,,,,-35.47746324477131,-17.0418154815171,-152.9993645415107,-0.9244063264186828,-13.764314115790196,-28.087954529127973,30.220000000000113,0.14921766940262957,-0.020113611060056075,-0.42905169303311624,-0.8923865471325378,
0.19070897569654044,-2.0471538829754627,1.1989194747127099,949.8338264996212,47.993715349044635,-89.69134998515835,,,,,,,-25.840367723469026,-16.93932959819209,-153.69837414001907,-0.3387802839716307,-10.724342663551385,-27.935833890604176,30.220000000000113,0.15048300253239386,-0.019805965689504032,-0.42278620407082707,-0.8942832095627382,
0.16712760928015477,-1.9386465000184854,0.9026285799577972,979.9329231077285,67.20092901727453,-99.8776852879051,,,,,,,-15.838065650072448,-16.56563211856474,-154.53124525540088,0.03102382924084123,-8.804551749294298,-27.839783336762522,30.220000000000113,0.15312088544326982,-0.01916713568109131,-0.4097163803692569,-0.8982363296700859,
0.13464286414842228,-1.7872924655979239,0.6155289247420352,977.2115227979386,81.80852145614263,-105.85270239225007,,,,,,,-5.824743176052453,-15.928022222788668,-155.45634149446533,0.20166578408298153,-7.917985182110716,-27.79550116349654,30.220000000000113,0.15723083786193273,-0.018173802070606433,-0.38934667732552725,-0.9043947637504082,
0.09725363396910222,-1.585492894622522,0.3397711600945785,945.915321470235,88.46893907951114,-106.62051633643148,,,,,,,3.906442611109912,-15.08111088811764,-156.41864026154158,0.2158851956869437,-7.842364405835542,-27.791907887501093,30.220000000000113,0.16266756133828006,-0.01686181456683142,-0.3623949202385163,-0.9125405281570513,
0.06093267346611009,-1.3315192816536094,0.07762493375067571,890.7052043436447,85.43218184537734,-101.60029106020998,,,,,,,13.120204941888163,-14.118224287363022,-157.35948732369152,0.12901563840334856,-8.290270950095826,-27.814639649948713,30.220000000000113,0.1690313839334414,-0.015328298273914232,-0.33084029920810054,-0.9220745548902904,
0.03171135990941612,-1.030967828316911,-0.1659823346436643,816.2326463711403,72.88954461056119,-90.72402846477262,,,,,,,21.6313727178142,-13.154416710067418,-158.22620417252864,-0.003966245426555541,-8.976539750117368,-27.849403361940094,30.220000000000113,0.17572854395150123,-0.013716850240620663,-0.29762532516172263,-0.9321071065631944,
0.014040655644936326,-0.6967850310503144,-0.382299674098471,727.0451519717075,52.75826761437311,-74.5291367203581,,,,,,,29.297332433469467,-12.305697471066685,-158.9796528129262,-0.13811407407039986,-9.668573957168453,-27.884484068593114,30.220000000000113,0.18209242784077787,-0.01218802230235125,-0.2660556278529124,-0.9416395196910576,
0.009995165192604355,-0.34772036109192345,-0.5591775549621117,627.7207423589618,28.0613485816927,-54.22715986476963,,,,,,,36.0139597760054,-11.66951363506607,-159.59880245566376,-0.24368732402480353,-10.213193940663906,-27.912090484837673,30.220000000000113,0.18752925570665288,-0.010883977396506664,-0.23907832837187085,-0.949782550995103,
0.01939362623253444,-0.005430476030199484,-0.6828738594122232,523.0569734371151,2.183518162269633,-31.693669994031335,,,,,,,41.71609168549934,-11.3102019841868,-160.0820272738033,-0.306960054321368,-10.540659100137214,-27.928574879419244,30.220000000000113,0.1916393220894942,-0.009899208076197565,-0.21868107985106713,-0.955938039384813,
0.040412681671512136,0.30915248352799707,-0.7407911885646723,418.1348015101818,-21.743270691289112,-9.320494343933863,,,,,,,46.38127920631018,-11.251072820932544,-160.44518110523563,-0.3277095610193253,-10.65128461934598,-27.933799814448335,30.220000000000113,0.19427728553411464,-0.009266207720664022,-0.20559249812585687,-0.9598891572069258,
0.07013815985627692,0.5792905302613239,-0.7245879785298466,318.1423680481783,-41.21443983556015,10.288331698018412,,,,,,,50.03391335188146,-11.473141463451851,-160.71679848018124,-0.3148411134538291,-10.592244486488568,-27.930028151773417,30.220000000000113,0.19554262203189438,-0.00895828138109716,-0.1993278936151316,-0.9617859230634559,
0.10481088081809739,0.7948091656038804,-0.6330122781467693,227.95570463803398,-54.52509792247284,24.731515566427078,,,,,,,52.74638648245502,-11.919738904404037,-160.93135352817328,-0.2815742984554339,-10.432047199874205,-27.920701834272734,30.220000000000113,0.19571618920156972,-0.008905623042737093,-0.19850132874508225,-0.9620498781577846,
0.13995893411463226,0.9527392888278512,-0.4737303712549639,151.5837830050295,-60.835553197708194,32.23949819466756,,,,,,,54.63484013821497,-12.505990366582994,-161.1221645818274,-0.24128852524634045,-10.23852063483326,-27.909386910665205,30.220000000000113,0.19517071457819435,-0.009017831972860596,-0.20126648312519,-0.9612396403380994,
0.17075645583811605,1.056216932940195,-0.2635030696744464,91.64409983370562,-60.186385632391556,32.00842606615305,,,,,,,55.84880461495889,-13.131885665833337,-161.31573076687383,-0.2046622839149902,-10.063774150284308,-27.899040159432072,30.220000000000113,0.19428253281216215,-0.009206062497263494,-0.20575153295963816,-0.9599183528839964,
0.19272957827055134,1.1122716615297352,-0.026402583513215894,49.02302994771449,-53.4533022691145,24.35860070132548,,,,,,,56.55590254692397,-13.697173017017196,-161.52873753367209,-0.17828343372572414,-9.937230704556837,-27.89163401452266,30.220000000000113,0.19336408611892625,-0.00939981080885667,-0.21039220762630034,-0.9585523701908192,
0.20261255033399667,1.129471615177739,0.2097167343392279,22.81214199493377,-42.20666456329417,10.686510011087403,,,,,,,56.9241270461887,-14.115842738022097,-161.76793581811577,-0.16455177095279722,-9.865919988132744,-27.88808701244425,30.220000000000113,0.19262640462993108,-0.00955580472062588,-0.21411830681389432,-0.9574551018970928,
0.19902194865652906,1.1162577029000553,0.41778304577375047,10.533846617470518,-28.4660726519212,-6.7725280532667,,,,,,,57.1047331419253,-14.327892295434495,-162.03215495944409,-0.16248482597937663,-9.840018457310801,-27.88839860537074,30.220000000000113,0.19217142300762027,-0.009658781950049404,-0.21639517239635486,-0.956775890597639,
0.18270928120898067,1.0803098281100205,0.5760939980327523,8.603934003625483,-14.38333627301697,-25.319646936805732,,,,,,,57.21854473178352,-14.3065180104748,-162.31526329312524,-0.16897307091913136,-9.841119753585199,-27.891879456904963,30.220000000000113,0.19200748120431205,-0.009715676928094882,-0.21715335924854892,-0.9565239873873418,
