Acceleration X(g)_filt,Acceleration Y(g)_filt,Acceleration Z(g)_filt,Angular velocity X(°/s)_filt,Angular velocity Y(°/s)_filt,Angular velocity Z(°/s)_filt,ShiftX(mm)_filt,ShiftY(mm)_filt,ShiftZ(mm)_filt,SpeedX(mm/s)_filt,SpeedY(mm/s)_filt,SpeedZ(mm/s)_filt,Angle X(°)_filt,Angle Y(°)_filt,Angle Z(°)_filt,Magnetic field X(ʯt)_filt,Magnetic field Y(ʯt)_filt,Magnetic field Z(ʯt)_filt,Temperature(℃)_filt,Quaternions 0()_filt,Quaternions 1()_filt,Quaternions 2()_filt,Quaternions 3()_filt
-0.036007469554517904,0.20593879423567457,1.0106786194725645,2.6743922673376375,1.9752344376274003,-0.004132803708680051,,,,,,,12.509123505533845,-5.745902868174574,-156.28120817029506,-7.600106455186875,-27.300109257543888,-25.11295639319698,30.780000000000094,0.20504727065154169,0.02377171053297426,-0.09952069076952422,-0.9733304784801445
-0.03177870566332384,0.20352821355421147,1.0054313497662568,2.199662430153923,0.0034417211612141653,0.9252557949572415,,,,,,,12.522119638965458,-5.770553474529805,-156.2756454888365,-7.597948806647635,-27.297951286958067,-25.11379646671803,30.780000000000094,0.2050490504742605,0.023770594675963857,-0.09952023867808199,-0.9733301666559019
-0.027416504697248642,0.200928977675734,1.001637896763511,1.8313541132188296,-1.77715301368789,1.821119536429863,,,,,,,12.53575645236865,-5.797859009341907,-156.26770058227441,-7.595436723179031,-27.295437983572057,-25.11477519297887,30.780000000000094,0.20505192312062662,0.02376879386530616,-0.09951950976074161,-0.9733296632785783
-0.022807327094637474,0.19797955581854998,1.0005204424971728,1.6999759516309199,-3.2044228331561158,2.6512109212863915,,,,,,,12.550698744533461,-5.829847288644258,-156.25550494693096,-7.593170519286307,-27.29316962600503,-25.115658938678415,30.780000000000094,0.20505551143303238,0.023766544587689075,-0.0995185999323164,-0.9733290344125282
-0.017946302170617483,0.1946204631796122,1.0027277624107607,1.918821663783874,-4.173245793679915,3.3851647254531727,,,,,,,12.568415390697032,-5.867411519698997,-156.2377661988637,-7.591946236500467,-27.29194248689091,-25.116137680610564,30.780000000000094,0.20505905070461053,0.023764326249657738,-0.09951770333463192,-0.9733284140461159
-0.012948258962502835,0.19092433600497802,1.0081856005022363,2.5684487579251636,-4.6479241189561105,3.9967423611637907,,,,,,,12.591381958444831,-5.91014155964457,-156.21389546063173,-7.592602053223416,-27.292595293324162,-25.115884748533276,30.780000000000094,0.20506144538990764,0.023762825606391275,-0.09951709786527459,-0.9733279941639247
-0.008022502235000263,0.1871041553504716,1.0160975970448771,3.6803060301038353,-4.660273136830946,4.46654180437106,,,,,,,12.622963967655693,-5.956478577744748,-156.1840171802052,-7.595782233742906,-27.29577315302391,-25.114648721267777,30.780000000000094,0.20506145175386625,0.023762822247428737,-0.0995170987719174,-0.973327992748055
-0.0034271314209048916,0.18349810637074626,1.0250859415320366,5.222370725908383,-4.2949715447478,4.784144943170772,,,,,,,12.666975925878155,-6.004106943466819,-156.14887356797612,-7.601652926352694,-27.301643229878074,-25.11236414188798,30.780000000000094,0.2050579879574801,0.02376499420701571,-0.09951797995989232,-0.9733285994426296
0.0005773697153225519,0.18053024638276224,1.0334349661679327,7.09065539317547,-3.6668366771977596,4.948959485557574,,,,,,,12.726983521215077,-6.0504454253016,-156.10965511854414,-7.609634336665673,-27.309626687051257,-25.10925594256068,30.780000000000094,0.2050505350821451,0.023769666585361584,-0.09951987229959687,-0.9733299052740544
0.0037610963830361365,0.17864829852500844,1.0393879651164066,9.110446691824285,-2.8964342821764495,4.969660908061177,,,,,,,12.805477013438923,-6.093103268708936,-156.0677974204872,-7.618238228196633,-27.31823587090024,-25.105902939718575,30.780000000000094,0.20503954848228018,0.023776553717591044,-0.09952265940235311,-0.9733318305508086
0.005941239706703007,0.17824454612223803,1.0414468835604807,11.049989996611082,-2.0902806321441085,4.862721562675568,,,,,,,12.903081904326848,-6.130211860567362,-156.02478321137355,-7.625108407323598,-27.325114449766374,-25.10322234424794,30.780000000000094,0.2050267592405659,0.023784570256089533,-0.09952590136483488,-0.9733340720108169
0.006989487911415082,0.17957260418025217,1.038632029288644,12.64708692067922,-1.3297396309822578,4.65074577715837,,,,,,,13.017980483779368,-6.160603268059974,-155.98197915236705,-7.627345238107287,-27.327361644782115,-25.102343670254633,30.780000000000094,0.20501522443206333,0.02379179973214639,-0.09952882230007534,-0.9733360939795882
0.00684128633561218,0.18268010932515952,1.0306682677679475,13.64589406324339,-0.6692676328791948,4.361127730109863,,,,,,,13.145690716670309,-6.183856358330175,-155.94052168450045,-7.622147128067764,-27.322173608031058,-25.10435913219993,30.780000000000094,0.20500899716490245,0.023795701468772693,-0.09953039433157923,-0.9733371861573247
0.005513432273186246,0.18738034749908752,1.0180704883904335,13.837704273963784,-0.14137470833197446,4.02502148366078,,,,,,,13.279286612218652,-6.20025385114817,-155.90125099788784,-7.607723015324602,-27.307756090849992,-25.109968336137378,30.780000000000094,0.2050123443254518,0.023793601003157822,-0.09952953624947283,-0.9733366006748846
0.0031274253769374137,0.1932780989270545,1.0021062150329765,13.097001484867974,0.23604087633366366,3.6760863625957136,,,,,,,13.410053570956384,-6.210689900126505,-155.8646832310945,-7.58433062980248,-27.284363250572873,-25.11907373347158,30.780000000000094,0.2050285445917115,0.023783443580831388,-0.09952541846862681,-0.9733337627240098
