Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:27.893,0.201,0.03,1.003,0.244,-0.732,0.061,,,,,,,3.246,-16.848,-117.004,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:27.893,0.204,0.031,1.01,0.427,-0.061,0.0,,,,,,,3.246,-16.853,-117.004,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:27.893,0.2,0.03,1.013,0.793,1.404,0.244,,,,,,,3.246,-16.848,-117.015,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:27.893,0.196,0.031,1.009,0.671,2.075,0.854,,,,,,,3.252,-16.831,-117.004,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:27.893,0.194,0.033,1.0,0.0,1.953,1.343,,,,,,,3.246,-16.809,-117.004,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:27.893,0.192,0.032,0.994,-0.366,1.77,1.587,,,,,,,3.241,-16.793,-116.988,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:27.893,0.193,0.031,0.991,-0.732,0.977,1.587,,,,,,,3.224,-16.776,-116.982,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:27.893,0.199,0.031,0.991,-1.221,0.305,1.465,,,,,,,3.208,-16.776,-116.966,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.201,0.032,0.994,-1.892,0.732,1.343,,,,,,,3.186,-16.771,-116.966,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.197,0.029,1.0,-2.014,0.671,1.099,,,,,,,3.159,-16.765,-116.955,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.193,0.027,1.007,-1.587,0.244,0.916,,,,,,,3.137,-16.76,-116.955,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.194,0.029,1.013,-1.221,-0.305,0.977,,,,,,,3.115,-16.765,-116.944,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.194,0.029,1.017,-0.793,-0.183,1.404,,,,,,,3.098,-16.765,-116.944,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.194,0.028,1.017,-0.366,0.427,1.953,,,,,,,3.087,-16.771,-116.927,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.191,0.027,1.009,-0.427,1.404,2.625,,,,,,,3.076,-16.76,-116.911,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.19,0.022,1.001,-0.488,0.793,2.93,,,,,,,3.06,-16.749,-116.884,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.194,0.016,0.999,-0.549,-0.366,2.136,,,,,,,3.043,-16.749,-116.867,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.202,0.011,1.003,-0.244,-1.099,1.16,,,,,,,3.032,-16.76,-116.856,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.209,0.008,1.013,0.61,-1.282,0.488,,,,,,,3.032,-16.771,-116.856,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.218,0.009,1.019,1.099,-1.282,0.122,,,,,,,3.038,-16.787,-116.856,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.223,0.013,1.02,1.099,-0.671,-0.305,,,,,,,3.043,-16.798,-116.867,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.223,0.015,1.016,1.221,0.427,-0.732,,,,,,,3.054,-16.798,-116.873,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.22,0.018,1.009,1.221,1.709,-0.854,,,,,,,3.065,-16.787,-116.895,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.217,0.022,1.0,0.61,2.38,-0.854,,,,,,,3.071,-16.771,-116.9,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.217,0.025,0.989,-0.549,2.625,-0.671,,,,,,,3.065,-16.743,-116.922,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.216,0.024,0.983,-1.587,2.869,-0.549,,,,,,,3.054,-16.716,-116.927,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.215,0.022,0.985,-2.197,3.174,-0.488,,,,,,,3.027,-16.683,-116.944,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.215,0.022,0.991,-2.563,2.869,-0.427,,,,,,,2.999,-16.655,-116.949,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.213,0.02,1.0,-2.258,2.319,-0.61,,,,,,,2.972,-16.628,-116.96,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.213,0.019,1.017,-0.977,1.831,-0.671,,,,,,,2.955,-16.611,-116.971,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.217,0.023,1.028,0.122,1.343,-0.732,,,,,,,2.95,-16.595,-116.988,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.218,0.027,1.033,0.977,2.319,-0.854,,,,,,,2.95,-16.578,-116.999,-11.9,-27.3,-31.513,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.212,0.026,1.031,1.953,3.845,-0.732,,,,,,,2.966,-16.545,-117.015,-11.7,-28.0,-31.167,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.203,0.023,1.021,2.563,4.7,-0.977,,,,,,,2.983,-16.501,-117.026,-11.7,-28.0,-31.167,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.194,0.02,1.007,2.441,4.517,-1.282,,,,,,,3.01,-16.458,-117.043,-11.7,-28.0,-31.167,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.188,0.017,0.991,1.648,3.906,-1.282,,,,,,,3.027,-16.414,-117.059,-11.7,-28.0,-31.167,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.181,0.018,0.981,0.549,3.113,-0.854,,,,,,,3.038,-16.381,-117.081,-11.7,-28.0,-31.167,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.179,0.02,0.978,-0.732,1.404,-0.244,,,,,,,3.032,-16.359,-117.087,-11.7,-28.0,-31.167,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.183,0.021,0.981,-1.526,-0.427,0.0,,,,,,,3.016,-16.353,-117.098,-11.7,-28.0,-31.167,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.191,0.021,0.991,-1.77,-1.465,0.0,,,,,,,2.994,-16.37,-117.098,-11.7,-28.0,-31.167,29.33,-0.52173,0.06854,0.06494,0.84781,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.197,0.021,1.005,-1.892,-1.221,-0.305,,,,,,,2.972,-16.381,-117.109,-11.7,-28.0,-31.167,29.33,-0.52103,0.06595,0.06082,0.84875,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.198,0.021,1.019,-1.831,-0.122,-0.61,,,,,,,2.95,-16.392,-117.114,-11.7,-28.0,-31.167,29.33,-0.52103,0.06595,0.06082,0.84875,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.195,0.02,1.026,-1.404,0.732,-0.854,,,,,,,2.928,-16.386,-117.136,-11.7,-28.0,-31.167,29.33,-0.52103,0.06595,0.06082,0.84875,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.192,0.017,1.025,-0.671,0.732,-1.282,,,,,,,2.917,-16.381,-117.147,-11.7,-28.0,-31.167,29.33,-0.52103,0.06595,0.06082,0.84875,
d0:1c:1b:3a:ee:9d,2025-10-17 13:24:28.283,0.194,0.013,1.023,1.099,0.61,-1.587,,,,,,,2.917,-16.375,-117.169,-11.7,-28.0,-31.167,29.33,-0.52103,0.06595,0.06082,0.84875,
