Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
d0:1c:1b:3a:ee:9d,2015-01-01 01:28:40.290,0.167,0.123,0.99,-5.432,-1.953,3.296,,,,,,,7.905,-15.782,-160.977,-3.3,-36.7,-28.98,30.52,0.16891,-0.07123,-0.07458,-0.98016,
d0:1c:1b:3a:ee:9d,2015-01-01 01:28:40.290,0.17,0.122,0.998,-6.042,-1.404,3.784,,,,,,,7.833,-15.804,-160.939,-3.3,-36.7,-28.98,30.52,0.16891,-0.07123,-0.07458,-0.98016,
d0:1c:1b:3a:ee:9d,2015-01-01 01:28:40.290,0.176,0.125,1.002,-6.348,-0.549,3.601,,,,,,,7.756,-15.82,-160.917,-3.3,-36.7,-28.98,30.52,0.16891,-0.07123,-0.07458,-0.98016,
d0:1c:1b:3a:ee:9d,2015-01-01 01:28:40.290,0.175,0.123,1.004,-6.104,0.671,3.296,,,,,,,7.679,-15.826,-160.878,-3.3,-36.7,-28.98,30.52,0.16891,-0.07123,-0.07458,-0.98016,
d0:1c:1b:3a:ee:9d,2015-01-01 01:28:40.740,0.168,0.12,1.003,-5.615,0.427,2.38,,,,,,,7.608,-15.82,-160.862,-3.3,-36.7,-28.98,30.52,0.16891,-0.07123,-0.07458,-0.98016,
d0:1c:1b:3a:ee:9d,2015-01-01 01:28:40.740,0.165,0.117,1.004,-5.188,-1.343,1.404,,,,,,,7.542,-15.831,-160.845,-3.3,-36.7,-28.98,30.52,0.16891,-0.07123,-0.07458,-0.98016,
d0:1c:1b:3a:ee:9d,2015-01-01 01:28:40.740,0.164,0.11,1.009,-4.333,-3.052,1.038,,,,,,,7.482,-15.853,-160.851,-3.3,-36.7,-28.98,30.52,0.16891,-0.07123,-0.07458,-0.98016,
d0:1c:1b:3a:ee:9d,2015-01-01 01:28:40.740,0.168,0.105,1.015,-2.93,-4.639,0.732,,,,,,,7.438,-15.897,-160.84,-3.3,-36.7,-28.98,30.52,0.16891,-0.07123,-0.07458,-0.98016,
d0:1c:1b:3a:ee:9d,2015-01-01 01:28:40.740,0.174,0.106,1.022,-1.465,-3.845,0.488,,,,,,,7.41,-15.947,-160.856,-3.3,-36.7,-28.98,30.52,0.16891,-0.07123,-0.07458,-0.98016,
d0:1c:1b:3a:ee:9d,2015-01-01 01:28:40.740,0.175,0.106,1.021,-0.671,-2.075,0.366,,,,,,,7.388,-15.974,-160.851,-3.3,-36.7,-28.98,30.52,0.16891,-0.07123,-0.07458,-0.98016,
d0:1c:1b:3a:ee:9d,2015-01-01 01:28:40.740,0.174,0.104,1.014,-0.305,-0.854,0.122,,,,,,,7.377,-15.991,-160.867,-3.3,-36.7,-28.98,30.52,0.16891,-0.07123,-0.07458,-0.98016,
d0:1c:1b:3a:ee:9d,2015-01-01 01:28:40.740,0.175,0.103,1.009,-0.366,0.366,0.366,,,,,,,7.366,-15.996,-160.862,-3.3,-36.7,-28.98,30.52,0.16891,-0.07123,-0.07458,-0.98016,
d0:1c:1b:3a:ee:9d,2015-01-01 01:28:40.740,0.169,0.101,1.004,-1.16,1.587,0.977,,,,,,,7.344,-15.985,-160.867,-3.3,-36.7,-28.98,30.52,0.16891,-0.07123,-0.07458,-0.98016,
d0:1c:1b:3a:ee:9d,2015-01-01 01:28:40.740,0.159,0.102,1.0,-1.831,1.099,1.404,,,,,,,7.322,-15.974,-160.851,-3.3,-36.7,-28.98,30.52,0.16891,-0.07123,-0.07458,-0.98016,
d0:1c:1b:3a:ee:9d,2015-01-01 01:28:40.740,0.159,0.101,1.002,-1.953,-0.427,1.221,,,,,,,7.289,-15.974,-160.851,-3.3,-36.7,-28.98,30.52,0.16891,-0.07123,-0.07458,-0.98016,
d0:1c:1b:3a:ee:9d,2015-01-01 01:28:40.740,0.167,0.099,1.011,-1.343,-1.038,1.16,,,,,,,7.262,-15.985,-160.834,-3.3,-36.7,-28.98,30.52,0.16891,-0.07123,-0.07458,-0.98016,
d0:1c:1b:3a:ee:9d,2015-01-01 01:28:40.740,0.17,0.099,1.019,0.0,-0.244,1.526,,,,,,,7.245,-15.996,-160.84,-3.3,-36.7,-28.98,30.52,0.16891,-0.07123,-0.07458,-0.98016,
d0:1c:1b:3a:ee:9d,2015-01-01 01:28:40.740,0.168,0.102,1.018,0.427,0.427,1.465,,,,,,,7.24,-15.996,-160.823,-3.3,-36.7,-28.98,30.52,0.16891,-0.07123,-0.07458,-0.98016,
d0:1c:1b:3a:ee:9d,2015-01-01 01:28:40.740,0.168,0.102,1.012,1.038,0.244,0.977,,,,,,,7.234,-15.996,-160.823,-3.3,-36.7,-28.98,30.52,0.16891,-0.07123,-0.07458,-0.98016,
d0:1c:1b:3a:ee:9d,2015-01-01 01:28:40.740,0.172,0.101,1.01,1.648,-0.916,0.366,,,,,,,7.24,-16.002,-160.818,-3.3,-36.7,-28.98,30.52,0.16891,-0.07123,-0.07458,-0.98016,
d0:1c:1b:3a:ee:9d,2015-01-01 01:28:40.740,0.172,0.104,1.012,2.258,-0.854,0.061,,,,,,,7.251,-16.013,-160.834,-3.3,-36.7,-28.98,30.52,0.16891,-0.07123,-0.07458,-0.98016,
d0:1c:1b:3a:ee:9d,2015-01-01 01:28:40.740,0.172,0.105,1.01,2.258,-0.488,0.244,,,,,,,7.267,-16.024,-160.829,-3.3,-36.7,-28.98,30.52,0.16891,-0.07123,-0.07458,-0.98016,
d0:1c:1b:3a:ee:9d,2015-01-01 01:28:40.740,0.17,0.106,1.007,1.953,0.549,0.793,,,,,,,7.278,-16.024,-160.84,-3.3,-36.7,-28.98,30.52,0.16891,-0.07123,-0.07458,-0.98016,
d0:1c:1b:3a:ee:9d,2015-01-01 01:28:40.740,0.166,0.108,1.0,1.221,1.526,1.343,,,,,,,7.284,-16.013,-160.823,-3.3,-36.7,-28.98,30.52,0.16891,-0.07123,-0.07458,-0.98016,
d0:1c:1b:3a:ee:9d,2015-01-01 01:28:40.740,0.164,0.109,0.992,0.183,0.61,1.465,,,,,,,7.284,-16.007,-160.823,-3.3,-36.7,-28.98,30.52,0.16891,-0.07123,-0.07458,-0.98016,
d0:1c:1b:3a:ee:9d,2015-01-01 01:28:40.740,0.167,0.111,0.991,-0.61,-0.61,1.404,,,,,,,7.267,-16.007,-160.801,-3.3,-36.7,-28.98,30.52,0.16891,-0.07123,-0.07458,-0.98016,
d0:1c:1b:3a:ee:9d,2015-01-01 01:28:40.740,0.172,0.11,0.997,-1.282,-0.916,1.038,,,,,,,7.251,-16.024,-160.807,-3.3,-36.7,-28.98,30.52,0.16891,-0.07123,-0.07458,-0.98016,
