Chip Time()_filt,Acceleration X(g)_filt,Acceleration Y(g)_filt,Acceleration Z(g)_filt,Angular velocity X(°/s)_filt,Angular velocity Y(°/s)_filt,Angular velocity Z(°/s)_filt,ShiftX(mm)_filt,ShiftY(mm)_filt,ShiftZ(mm)_filt,SpeedX(mm/s)_filt,SpeedY(mm/s)_filt,SpeedZ(mm/s)_filt,Angle X(°)_filt,Angle Y(°)_filt,Angle Z(°)_filt,Magnetic field X(ʯt)_filt,Magnetic field Y(ʯt)_filt,Magnetic field Z(ʯt)_filt,Temperature(℃)_filt,Quaternions 0()_filt,Quaternions 1()_filt,Quaternions 2()_filt,Quaternions 3()_filt
-0.013546469226302425,0.07037023246935857,1.0050062319071353,-5.369085152892938,-0.8855168024245545,2.8058661179344377,,,,,,,4.281049316079499,-4.726154132692826,-104.35826441950964,-54.50247701915224,-11.803096831948068,-25.429687526545813,27.600000000000215,0.6173995728826617,0.03045897694226973,-0.013920942885938432,-0.7858903391254939,
-0.012638425553551054,0.06388182741880252,1.0049676631589297,-8.15581773282137,-0.4951581074235751,2.3188626892421684,,,,,,,4.164785412506147,-4.731850118021037,-104.33092915090701,-54.502274647617284,-11.802843742623846,-25.42946763226942,27.60000000000022,0.6174084347023826,0.03048020214998932,-0.013901393923916951,-0.7858833027723169,
-0.011955020609671914,0.05688907609418039,1.007365171247862,-10.42263187531482,-0.22228738629826758,1.7966523656346458,,,,,,,4.047811079432333,-4.737961653110012,-104.30619871977154,-54.501295784303196,-11.801619850749496,-25.42840520853786,27.60000000000022,0.617418749178729,0.03050490667583931,-0.013878640231269126,-0.7858751130013002,
-0.011773116401005665,0.049187553967088085,1.013780309515871,-11.700903854439428,-0.11968496355641899,1.2335296057089113,,,,,,,3.9318658906319324,-4.744507776753083,-104.28650996458782,-54.499489518150654,-11.799361527444756,-25.426445108924305,27.60000000000022,0.6174280502652506,0.03052718402124442,-0.013858121816815075,-0.7858677278727431,
-0.01230741842203921,0.040914517045994726,1.0246889439329034,-11.656187148185495,-0.21348518104673345,0.6482644393413819,,,,,,,3.8213866757410795,-4.751909270308358,-104.27359342881631,-54.497034418945105,-11.796292053332909,-25.423781198295863,27.60000000000022,0.6174330688950443,0.030539204344686165,-0.013847050190786588,-0.7858637430506115,
-0.013703812471773819,0.03259184417756014,1.039230235780228,-10.14836319947636,-0.4979806026999671,0.08592999993353287,,,,,,,3.7235629079060297,-4.7609645348803715,-104.26818176827074,-54.49438846704376,-11.79298403637797,-25.420910502297474,27.60000000000022,0.6174303640677542,0.030532725995444945,-0.013853016219811009,-0.7858658907143579,
-0.016037138031755417,0.025057060251265362,1.0552931460333437,-7.269193401724412,-0.9359230233554344,-0.3886015688922822,,,,,,,3.647338896534032,-4.772675729919091,-104.26986370135687,-54.49227652807002,-11.790343744048432,-25.418619582060778,27.60000000000022,0.6174172923949696,0.03050141770034227,-0.013881851335958404,-0.7858762697323627,
-0.019301516418925024,0.019294613546129387,1.069926889685268,-3.3457838371233137,-1.4652944403217043,-0.7039002368636768,,,,,,,3.6015655465779255,-4.787988843131185,-104.27711266016323,-54.49159045701704,-11.789486201126145,-25.41787610647237,27.60000000000022,0.6173931750735099,0.03044365361775044,-0.013935053202179758,-0.7858954190764063,
-0.02339184446670738,0.016206454382419112,1.08000413361995,1.0979361956035263,-2.0123983598904576,-0.7986675229663366,,,,,,,3.592768208615581,-4.80753942149679,-104.28749279932316,-54.493191720234776,-11.791488414010363,-25.41961466091756,27.60000000000022,0.6173603972036433,0.030365146351164534,-0.014007360596551926,-0.7859214449551406,
-0.028086469549166104,0.016378615006661008,1.0829919422237912,5.421614669785763,-2.5104442291852416,-0.6381218892626602,,,,,,,3.623136651712285,-4.831503086717083,-104.29801930948415,-54.497630700547404,-11.797038434775487,-25.42443217481209,27.60000000000022,0.6173250741399744,0.030280542951915467,-0.014085283387389479,-0.7859494917272876,
-0.033042792746652956,0.019903109463474913,1.0776394105563296,8.980058540088041,-2.92187570709748,-0.22687764748854802,,,,,,,3.6893174023123403,-4.859637985004921,-104.30563074692745,-54.50482738028845,-11.806036147489955,-25.432241475335836,27.60000000000022,0.6172968839349081,0.030213023606631074,-0.01414747207382389,-0.7859718749439499,
