Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
d0:1c:1b:3a:ee:9d,2015-01-01 00:57:35.740,1.028,0.132,0.7,-74.158,-20.813,-333.862,,,,,,,12.744,-30.558,-161.955,-8.1,-43.4,-28.247,30.56,-0.23386,0.19553,0.11862,0.94492,
d0:1c:1b:3a:ee:9d,2015-01-01 00:57:35.740,1.232,0.13,0.941,-47.119,-61.768,-403.564,,,,,,,13.815,-30.218,-166.047,-8.1,-43.4,-28.247,30.56,-0.23386,0.19553,0.11862,0.94492,
d0:1c:1b:3a:ee:9d,2015-01-01 00:57:35.740,1.438,0.166,1.273,-23.621,-64.941,-466.614,,,,,,,15.419,-29.844,-170.892,-8.1,-43.4,-28.247,30.56,-0.23386,0.19553,0.11862,0.94492,
d0:1c:1b:3a:ee:9d,2015-01-01 00:57:35.740,1.515,0.136,1.575,-3.54,-5.493,-525.635,,,,,,,17.397,-28.889,-176.226,-8.1,-43.4,-28.247,30.56,-0.23386,0.19553,0.11862,0.94492,
d0:1c:1b:3a:ee:9d,2015-01-01 00:57:35.740,1.419,-0.009,1.703,7.141,91.309,-583.618,,,,,,,19.484,-26.735,178.171,-8.1,-43.4,-28.247,30.56,-0.23386,0.19553,0.11862,0.94492,
d0:1c:1b:3a:ee:9d,2015-01-01 00:57:35.740,1.208,-0.167,1.645,12.024,177.246,-616.272,,,,,,,21.368,-23.428,172.656,-8.1,-43.4,-28.247,30.56,-0.23386,0.19553,0.11862,0.94492,
d0:1c:1b:3a:ee:9d,2015-01-01 00:57:35.740,0.868,-0.366,1.381,11.108,269.226,-633.24,,,,,,,22.841,-19.045,167.443,-8.1,-43.4,-28.247,30.56,-0.23386,0.19553,0.11862,0.94492,
d0:1c:1b:3a:ee:9d,2015-01-01 00:57:35.740,0.405,-0.557,0.939,4.7,329.468,-623.901,,,,,,,23.758,-13.821,162.702,-8.1,-43.4,-28.247,30.56,-0.23386,0.19553,0.11862,0.94492,
d0:1c:1b:3a:ee:9d,2015-01-01 00:57:35.740,-0.125,-0.605,0.392,-25.574,353.394,-587.646,,,,,,,24.022,-8.289,158.439,-8.1,-43.4,-28.247,30.56,-0.23386,0.19553,0.11862,0.94492,
d0:1c:1b:3a:ee:9d,2015-01-01 00:57:35.740,-0.587,-0.496,-0.09,-80.2,342.712,-520.752,,,,,,,23.428,-2.917,154.704,-8.1,-43.4,-28.247,30.56,-0.23386,0.19553,0.11862,0.94492,
d0:1c:1b:3a:ee:9d,2015-01-01 00:57:35.740,-0.743,-0.342,-0.353,-140.564,288.757,-437.988,,,,,,,21.962,1.769,151.436,-8.1,-43.4,-28.247,30.56,-0.23386,0.19553,0.11862,0.94492,
d0:1c:1b:3a:ee:9d,2015-01-01 00:57:35.740,-0.608,-0.336,-0.293,-181.58,238.831,-353.394,,,,,,,19.808,5.521,148.607,-8.1,-43.4,-28.247,30.56,-0.23386,0.19553,0.11862,0.94492,
d0:1c:1b:3a:ee:9d,2015-01-01 00:57:35.740,-0.504,-0.497,-0.02,-190.125,219.971,-297.729,,,,,,,17.353,8.657,146.184,-8.1,-43.4,-28.247,30.56,-0.23386,0.19553,0.11862,0.94492,
d0:1c:1b:3a:ee:9d,2015-01-01 00:57:35.740,-0.624,-0.627,0.218,-176.819,194.153,-270.63,,,,,,,14.865,11.371,143.91,-8.1,-43.4,-28.247,30.56,-0.23386,0.19553,0.11862,0.94492,
d0:1c:1b:3a:ee:9d,2015-01-01 00:57:35.740,-0.903,-0.618,0.389,-164.49,167.175,-245.972,,,,,,,12.448,13.694,141.685,-8.1,-43.4,-28.247,30.56,-0.23386,0.19553,0.11862,0.94492,
d0:1c:1b:3a:ee:9d,2015-01-01 00:57:35.740,-1.16,-0.497,0.559,-161.926,125.244,-221.619,,,,,,,10.042,15.518,139.504,-8.1,-43.4,-28.247,30.56,-0.23386,0.19553,0.11862,0.94492,
d0:1c:1b:3a:ee:9d,2015-01-01 00:57:35.740,-1.249,-0.4,0.826,-167.48,101.135,-178.894,,,,,,,7.63,16.87,137.538,-8.1,-43.4,-28.247,30.56,-0.23386,0.19553,0.11862,0.94492,
d0:1c:1b:3a:ee:9d,2015-01-01 00:57:35.740,-1.331,-0.432,1.074,-166.443,105.652,-140.015,,,,,,,5.301,18.023,135.934,-8.1,-43.4,-28.247,30.56,-0.23386,0.19553,0.11862,0.94492,
