Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:01.820,0.014,0.138,1.057,-0.61,-4.944,-16.846,,,,,,,8.877,-7.668,-154.468,-1.6,-47.4,-21.927,31.21,-0.11209,0.01041,0.03833,0.99286,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:01.820,0.013,0.133,1.056,1.648,-2.38,-17.151,,,,,,,8.882,-7.679,-154.638,-1.6,-47.4,-21.927,31.21,-0.11209,0.01041,0.03833,0.99286,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:01.820,0.007,0.129,1.045,2.869,-1.953,-16.785,,,,,,,8.91,-7.674,-154.819,-1.6,-47.4,-21.927,31.21,-0.11209,0.01041,0.03833,0.99286,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:01.820,0.009,0.133,1.033,3.662,-3.052,-17.639,,,,,,,8.937,-7.679,-154.984,-1.6,-47.4,-21.927,31.21,-0.11209,0.01041,0.03833,0.99286,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:01.820,0.01,0.144,1.021,4.089,-5.676,-20.63,,,,,,,8.981,-7.696,-155.187,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:01.820,0.015,0.162,1.009,4.456,-12.756,-27.649,,,,,,,9.025,-7.756,-155.44,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:01.820,0.037,0.169,1.0,4.822,-21.667,-35.767,,,,,,,9.075,-7.888,-155.792,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:01.820,0.068,0.165,1.0,4.028,-26.306,-41.992,,,,,,,9.124,-8.08,-156.215,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:01.820,0.091,0.154,1.005,2.625,-24.292,-45.593,,,,,,,9.174,-8.273,-156.693,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:01.820,0.094,0.151,1.0,-0.427,-19.897,-48.279,,,,,,,9.196,-8.421,-157.187,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:01.820,0.08,0.145,0.994,-3.113,-18.127,-50.781,,,,,,,9.19,-8.531,-157.714,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:01.820,0.076,0.151,0.979,-5.188,-23.438,-56.885,,,,,,,9.163,-8.663,-158.275,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:02.180,0.09,0.153,0.962,-8.606,-30.762,-64.148,,,,,,,9.119,-8.849,-158.923,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:02.180,0.112,0.146,0.955,-12.695,-35.156,-70.496,,,,,,,9.036,-9.086,-159.637,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:02.180,0.126,0.139,0.959,-17.334,-35.339,-75.073,,,,,,,8.921,-9.338,-160.422,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:02.180,0.134,0.134,0.969,-20.63,-32.715,-77.82,,,,,,,8.767,-9.575,-161.224,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:02.180,0.137,0.126,0.98,-23.254,-28.503,-80.505,,,,,,,8.591,-9.767,-162.059,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:02.180,0.137,0.127,0.997,-25.146,-26.428,-83.862,,,,,,,8.394,-9.932,-162.911,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:02.180,0.13,0.127,1.023,-25.513,-24.109,-87.219,,,,,,,8.19,-10.074,-163.801,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:02.180,0.133,0.105,1.059,-21.362,-22.217,-87.646,,,,,,,8.009,-10.201,-164.702,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:02.180,0.131,0.083,1.092,-15.991,-17.639,-85.388,,,,,,,7.883,-10.294,-165.591,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:02.180,0.12,0.08,1.113,-10.742,-11.963,-82.642,,,,,,,7.806,-10.338,-166.437,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:02.180,0.097,0.091,1.119,-5.188,-11.597,-82.397,,,,,,,7.784,-10.355,-167.278,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:02.180,0.087,0.107,1.116,0.793,-15.503,-86.548,,,,,,,7.822,-10.388,-168.129,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:02.180,0.089,0.125,1.096,5.92,-25.513,-95.52,,,,,,,7.921,-10.492,-169.069,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:02.180,0.095,0.132,1.071,8.362,-28.015,-100.525,,,,,,,8.069,-10.651,-170.085,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:02.180,0.106,0.121,1.038,9.399,-24.963,-101.074,,,,,,,8.234,-10.783,-171.129,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:02.180,0.098,0.103,1.009,9.094,-15.198,-94.788,,,,,,,8.405,-10.865,-172.128,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:02.180,0.075,0.089,0.982,6.531,-1.953,-83.13,,,,,,,8.547,-10.827,-173.024,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:02.180,0.041,0.1,0.967,1.709,9.583,-72.876,,,,,,,8.641,-10.679,-173.787,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:02.180,-0.012,0.113,0.948,-4.944,16.907,-61.951,,,,,,,8.668,-10.453,-174.435,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:02.180,-0.075,0.109,0.922,-11.536,16.907,-51.941,,,,,,,8.613,-10.206,-174.968,-1.6,-47.4,-21.927,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:02.180,-0.128,0.09,0.901,-16.052,8.301,-41.016,,,,,,,8.498,-10.014,-175.413,3.8,-35.0,-28.06,31.21,-0.21979,-0.00293,0.06967,0.97299,
d0:1c:1b:3a:ee:9d,2015-01-01 02:01:02.180,-0.19,0.073,0.897,-20.081,-5.371,-28.32,,,,,,,8.328,-9.965,-175.748,3.8,-35.0,-28.06,31.21,-0.21979,-0.00293,0.06967,0.97299,
