Chip Time()_filt,Acceleration X(g)_filt,Acceleration Y(g)_filt,Acceleration Z(g)_filt,Angular velocity X(°/s)_filt,Angular velocity Y(°/s)_filt,Angular velocity Z(°/s)_filt,ShiftX(mm)_filt,ShiftY(mm)_filt,ShiftZ(mm)_filt,SpeedX(mm/s)_filt,SpeedY(mm/s)_filt,SpeedZ(mm/s)_filt,Angle X(°)_filt,Angle Y(°)_filt,Angle Z(°)_filt,Magnetic field X(ʯt)_filt,Magnetic field Y(ʯt)_filt,Magnetic field Z(ʯt)_filt,Temperature(℃)_filt,Quaternions 0()_filt,Quaternions 1()_filt,Quaternions 2()_filt,Quaternions 3()_filt
0.01416991171443205,0.13813767653436815,1.0562980884532718,-0.7423547076207688,-4.885252379989445,-16.867092352564995,,,,,,,8.879628981162893,-7.667662715028457,-154.45901489838062,-1.602235254137623,-47.405124430572904,-21.92447120135023,31.2100000000001,-0.11212424509623051,0.01040080698746149,0.03833218772836021,0.9928555733233472,
0.013302171476318608,0.14041123540662578,1.0481033784492912,0.9129978991741331,-5.519340943982334,-17.877943690594634,,,,,,,8.900825465052531,-7.663907881761098,-154.60897352395307,-1.6007855117709686,-47.401793437133655,-21.92612003733013,31.21000000000008,-0.12988728852839712,0.008196459186145347,0.04349456530554343,0.9895799925194991,
0.013600624081332325,0.14282827160672232,1.0403103876255453,2.446618626321146,-6.419291589511431,-19.245285688976036,,,,,,,8.923994672838269,-7.669591392894163,-154.7767849136668,-1.5984419525840738,-47.39641222479482,-21.928781366529464,31.21000000000005,-0.14752387502957254,0.006008656043989806,0.04862152912508762,0.9863274055961486,
0.016059848933818763,0.14551598519831402,1.032964904989138,3.7369490473972657,-7.800758639569984,-21.259588565957166,,,,,,,8.952423947022982,-7.692364597708805,-154.97322533005945,-1.5955112424271432,-47.38968591690105,-21.93210580273597,31.21000000000003,-0.16471213669495413,0.0038786613614945,0.05362161124656559,0.9831566618040104,
0.02124482529263379,0.14842574206905604,1.0259863134991702,4.668095605654847,-9.761291231487762,-24.096847132977924,,,,,,,8.988052871848355,-7.738013656278111,-155.20735951570137,-1.5926167531620246,-47.38304634340121,-21.935384905224687,31.210000000000015,-0.18086193286716087,0.0018809083508509095,0.05832518460170206,0.9801761278344958,
0.029203108636002936,0.15133704781138396,1.0191536594472326,5.1286086067423335,-12.266158870883586,-27.799929609391345,,,,,,,9.030842689322624,-7.809999606053716,-155.48649134459612,-1.5906526880802219,-47.37854633688587,-21.93760370740842,31.210000000000008,-0.19520448257329617,0.00011146515585698798,0.06250986626707608,0.9775273163438577,
0.039503921454687896,0.15392941808945046,1.012133766146381,5.012823594773168,-15.172739062399689,-32.29138833138132,,,,,,,9.078471518491389,-7.909366678306127,-155.81615576177663,-1.5906353600646959,-47.378517972021406,-21.937609922287763,31.210000000000015,-0.20700114505871522,-0.001338303880926023,0.06596051937949081,0.9753465500474109,
0.051390333691819036,0.15588010186126508,1.0045708263796755,4.2271863222451564,-18.2781278977073,-37.40907482152511,,,,,,,9.126380174042838,-8.03502991301604,-156.20020159592374,-1.5934502659586431,-47.38499175980362,-21.93440121636862,31.210000000000022,-0.2157662244137359,-0.002409736026428238,0.0685334584603494,0.9737240086660046,
0.06399150762263055,0.15693865963500472,0.9962363578183281,2.7026306654146306,-21.36659615904512,-42.948498170683145,,,,,,,9.168149182011957,-8.184328112053446,-156.6409674600881,-1.5995246104460026,-47.398945000926965,-21.927496742147774,31.21000000000003,-0.22140639946963284,-0.003094306222857564,0.07019676194902422,0.9726780683415303,
0.07651712045762486,0.1569501736444595,0.9872068984942409,0.412280386164602,-24.23806908952451,-48.69619055969471,,,,,,,9.196157729473514,-8.353622076721528,-157.1394736163225,-1.6084909746543967,-47.41953020998502,-21.917318250387247,31.210000000000036,-0.22423486600536022,-0.003435153573259267,0.07103474121311706,0.9721526064666381,
0.08836494164693948,0.15583256528869524,0.9780095298444016,-2.607915742212631,-26.71416979531237,-54.446465867668046,,,,,,,9.202458508462732,-8.538713050062524,-157.69551392796168,-1.6189402428622761,-47.443508866389685,-21.905469399731835,31.21000000000005,-0.22487579032215516,-0.003514521963120008,0.07122127558193844,0.9720343525765931,
0.09911862137024409,0.15353828697213825,0.9696689426311627,-6.239498142222427,-28.634803715716178,-60.00498418058243,,,,,,,9.17979505411384,-8.734984877080105,-158.3075809257918,-1.6283792232479228,-47.46515539655318,-21.89478235939935,31.210000000000072,-0.22410649945553354,-0.003432983168574408,0.07097582307381671,0.972181533383409,
0.10847256572638565,0.1500335641407841,0.9636118348299323,-10.26813400126725,-29.86415055362191,-65.18975759798454,,,,,,,9.122681180358837,-8.93737258190568,-158.97267545847382,-1.6334985409689253,-47.476873520119334,-21.88901215630399,31.210000000000093,-0.22269006766013724,-0.003287109871661328,0.0705172028884508,0.9724541519015374,
0.11615664899890671,0.14531235125188133,0.9614276539111837,-14.382985953243667,-30.3159170996877,-69.83975226502263,,,,,,,9.02844373001244,-9.140401855764754,-159.68616745273243,-1.6308100294320191,-47.47066054999886,-21.89211198502575,31.2100000000001,-0.2212397697169006,-0.003151055060127957,0.07002671494089964,0.9727383717712835,
